des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
2.800000000000000266e-01,1.685816416563165263e-02,1.384991811226694014e-01,2.298823177420662722e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999800e-01,1.826933312517829353e-02,1.436850238449629835e-01,2.312830805435098502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.973113768448185590e-02,1.486248110675044143e-01,2.322348801910834037e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-01,2.124098379594825323e-02,1.532919470296663089e-01,2.327340547533164605e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,2.279601388880229951e-02,1.576603311546580788e-01,2.327778109303508813e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-01,2.439311224138124984e-02,1.617044419063295435e-01,2.323642488111647419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,2.602891118964200876e-02,1.653994201474139891e-01,2.314923567197908483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,2.769979816009536522e-02,1.687211506403079597e-01,2.301620246591688512e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999867e-01,2.940192351152214750e-02,1.716463422764137048e-01,2.283740419327931481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999956e-01,3.113120916881500014e-02,1.741526062467713132e-01,2.261301082597578782e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,3.288335803030699445e-02,1.762185325440474015e-01,2.234328181375950517e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000133e-01,3.465386412582295572e-02,1.778237635819692741e-01,2.202856771787488899e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,3.643802350233085047e-02,1.789490660728828841e-01,2.166930875816601987e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000311e-01,3.823094581292771355e-02,1.795763997959032021e-01,2.126603457973808564e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,4.002756657987790317e-02,1.796889836188828582e-01,2.081936366799261862e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999933e-01,4.182266010294063280e-02,1.792713585152307942e-01,2.033000221913316141e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,4.361085298128797305e-02,1.783094472475394154e-01,1.979874320162866574e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,4.538663821554680955e-02,1.767906106924003740e-01,1.922646512873185665e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,4.714438985532273113e-02,1.747037005970918100e-01,1.861413066275688089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000289e-01,4.887837815575633849e-02,1.720391086159885063e-01,1.796278497203714908e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,5.058278520502832581e-02,1.687888114520710858e-01,1.727355357648131251e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999999911e-01,5.225172098250323999e-02,1.649464118330181694e-01,1.654764145349425786e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
